week,anxiety,depression,suicidewatch
2024-01-01,1094.0,2788.0,1284.0
2024-01-08,972.0,2323.0,993.0
2024-01-15,952.0,2147.0,899.0
2024-01-22,857.0,2132.0,910.0
2024-01-29,883.0,2065.0,932.0
2024-02-05,859.0,2224.0,943.0
2024-02-12,830.0,2055.0,924.0
2024-02-19,851.0,2147.0,904.0
2024-02-26,688.0,1744.0,713.0
2024-03-04,793.0,2081.0,942.0
2024-03-11,815.0,2029.0,868.0
2024-03-18,756.0,2122.0,899.0
2024-03-25,756.0,2059.0,848.0
2024-04-01,739.0,2001.0,884.0
2024-04-08,721.0,1975.0,897.0
2024-04-15,637.0,1605.0,731.0
